md,model,server_slot,method,partition,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time
0,alexnet,0,min-cut,features_2,0.3545623838784564,0.19735802057220642,0.15720436330624998,0.09392477866666667,0.04449462890625,0.0,0.05855714327272728,0.0003814697265625
1,tiny_yolov2,3,min-cut,features_11,1.2920847988402997,0.6450847763402996,0.6470000225000001,0.32130730666666674,0.1650390625,0.0,0.15067985920000002,0.008058547973632812
2,googlenet,1,min-cut,maxpool1,0.6184430545265625,0.3317425453265625,0.2867005092,0.047647129600000004,0.19140625,0.0,0.09230769599999998,0.0003814697265625
3,densenet121,2,min-cut,features_pool0,0.6592043560122769,0.3824272260122769,0.27677713,0.034148352,0.19140625,0.0,0.15649115428571442,0.0003814697265625
4,resnet101,4,min-cut,maxpool,0.8000717873265631,0.5382120953055105,0.26185969202105264,0.02516194357894737,0.19140625,0.0,0.32126243200000065,0.0003814697265625
